merchant,industry,first_charge_date,country,business_size,subscription_volume,checkout_volume,payment_link_volume,total_volume,last_transaction_date,subscription_share,tenure_days
fcb105e3,Others,2035-05-02 00:00:00+00:00,US,small,0,0,0,99624409,2042-06-22 00:00:00+00:00,0.0,2608.0
13314398,Software,2033-10-12 00:00:00+00:00,GB,small,0,0,0,4677853,2042-06-22 00:00:00+00:00,0.0,3175.0
7af5c9b4,Software,2033-10-14 00:00:00+00:00,US,small,0,0,0,759600,2042-06-20 00:00:00+00:00,0.0,3173.0
3361dde8,Software,2034-01-31 00:00:00+00:00,DE,small,0,263185,0,263185,2042-05-31 00:00:00+00:00,0.0,3064.0
5dc3762d,Software,2033-12-03 00:00:00+00:00,US,small,410771035,0,0,441858603,2042-06-22 00:00:00+00:00,0.9296436285523675,3123.0
83d93185,Digital goods,2033-10-30 00:00:00+00:00,US,small,1172263459,20907941,0,6209037404,2042-06-22 00:00:00+00:00,0.18879954858136333,3157.0
91cfffc2,Software,2033-11-27 00:00:00+00:00,IE,small,0,0,0,15285636,2042-06-22 00:00:00+00:00,0.0,3129.0
3a1da47c,Software,2033-11-13 00:00:00+00:00,US,small,0,0,0,97947804,2042-06-22 00:00:00+00:00,0.0,3143.0
c3563825,Grocery & food stores,2033-11-27 00:00:00+00:00,US,small,5735309,0,0,5834309,2042-06-22 00:00:00+00:00,0.983031409546529,3129.0
dfb75031,Clothing & accessory,2033-11-22 00:00:00+00:00,CA,small,0,0,0,1854150,2042-06-20 00:00:00+00:00,0.0,3134.0
161ea9da,Business services,2033-12-04 00:00:00+00:00,US,small,63953202,0,0,63953202,2042-06-22 00:00:00+00:00,1.0,3122.0
4a3a73be,Software,2035-04-29 00:00:00+00:00,CA,small,65785907,0,0,65785907,2042-06-22 00:00:00+00:00,1.0,2611.0
706816ed,"Religion, politics & other memberships",2033-12-06 00:00:00+00:00,US,small,0,0,0,682578855,2042-06-22 00:00:00+00:00,0.0,3120.0
5ddc6c7d,Software,2033-12-30 00:00:00+00:00,US,small,0,0,0,3436350,2042-06-22 00:00:00+00:00,0.0,3096.0
dba4150f,Personal services,2039-09-11 00:00:00+00:00,US,small,0,0,0,34644604,2042-06-22 00:00:00+00:00,0.0,1015.0
4498aedc,Others,2034-06-12 00:00:00+00:00,US,small,0,0,0,28844869,2042-06-22 00:00:00+00:00,0.0,2932.0
1ad16459,Software,2034-01-27 00:00:00+00:00,CA,small,0,0,0,14707687,2042-06-16 00:00:00+00:00,0.0,3068.0
1764180c,Software,2034-01-06 00:00:00+00:00,US,small,26919589,0,0,26950909,2042-06-22 00:00:00+00:00,0.9988378870634753,3089.0
3a5a0e99,Leisure,2034-01-10 00:00:00+00:00,US,small,6492885,3852701,0,6638885,2042-06-22 00:00:00+00:00,0.9780083553187019,3085.0
c729c999,Food & drink,2035-02-19 00:00:00+00:00,GB,small,0,0,0,11399884,2042-06-22 00:00:00+00:00,0.0,2680.0
388b71d9,Software,2034-02-12 00:00:00+00:00,CA,medium,106440315,0,0,109328667,2042-06-22 00:00:00+00:00,0.9735810187825669,3052.0
40595b3f,Software,2034-01-30 00:00:00+00:00,US,small,0,0,0,99552882,2042-06-22 00:00:00+00:00,0.0,3065.0
7296df3c,Others,2034-02-02 00:00:00+00:00,GB,small,0,4131662,0,4131662,2042-06-22 00:00:00+00:00,0.0,3062.0
1c9f2c67,Software,2034-06-04 00:00:00+00:00,US,large,151289833,0,21138,9046738997,2042-06-22 00:00:00+00:00,0.016723134496327285,2940.0
b646533b,Software,2034-02-05 00:00:00+00:00,US,medium,0,0,0,5103673,2042-06-22 00:00:00+00:00,0.0,3059.0
62bd6600,Software,2034-02-23 00:00:00+00:00,US,small,2800000,0,0,41262270,2042-06-21 00:00:00+00:00,0.06785860302886874,3041.0
60ddca2f,Charity,2034-04-02 00:00:00+00:00,US,small,0,0,0,9929500,2042-06-22 00:00:00+00:00,0.0,3003.0
37cd1813,"Religion, politics & other memberships",2034-07-17 00:00:00+00:00,AU,small,0,0,0,22927402,2042-06-22 00:00:00+00:00,0.0,2897.0
54995cc1,Others,2034-02-21 00:00:00+00:00,US,small,0,0,0,4237045,2042-06-22 00:00:00+00:00,0.0,3043.0
d2513075,Leisure,2034-04-02 00:00:00+00:00,DE,small,0,0,0,10304852,2042-06-22 00:00:00+00:00,0.0,3003.0
c141dd9b,Software,2035-07-01 00:00:00+00:00,AU,small,6267966,0,0,6267966,2042-06-22 00:00:00+00:00,1.0,2548.0
fa9abdec,Clothing & accessory,2034-03-16 00:00:00+00:00,US,small,0,0,0,10349637,2042-06-20 00:00:00+00:00,0.0,3020.0
f34599df,Education,2034-07-15 00:00:00+00:00,US,small,5687226,0,411075,5881625,2042-06-22 00:00:00+00:00,0.9669480798248783,2899.0
8c73a284,Business services,2041-01-26 00:00:00+00:00,CY,small,0,1954550,0,1954550,2042-06-21 00:00:00+00:00,0.0,512.0
36171ac2,Grocery & food stores,2034-04-11 00:00:00+00:00,GB,small,511663,15244966,0,15244966,2042-06-22 00:00:00+00:00,0.03356275114027804,2994.0
f831f160,Software,2034-04-16 00:00:00+00:00,US,small,2209934,0,0,2209934,2042-06-08 00:00:00+00:00,1.0,2989.0
ba219501,Software,2034-04-04 00:00:00+00:00,BE,small,1081023,369008,0,1081023,2042-06-22 00:00:00+00:00,1.0,3001.0
9ceeb362,Software,2034-03-14 00:00:00+00:00,GB,small,0,0,0,40904986,2042-06-22 00:00:00+00:00,0.0,3022.0
8b09fd9c,Automotive parts and repair/service shops,2034-03-26 00:00:00+00:00,US,medium,9500000,0,0,158805628,2042-06-22 00:00:00+00:00,0.05982155745764879,3010.0
e623b224,Software,2034-06-12 00:00:00+00:00,US,small,43461630,0,0,47974147,2042-06-22 00:00:00+00:00,0.9059385672870849,2932.0
6b4287ea,Personal services,2034-05-07 00:00:00+00:00,GB,small,11913918,0,0,11940458,2042-06-22 00:00:00+00:00,0.9977773046896526,2968.0
9193ec36,Charity,2034-04-28 00:00:00+00:00,US,small,140000,0,0,7771600,2042-06-22 00:00:00+00:00,0.01801430850790056,2977.0
f17d1721,Software,2034-03-21 00:00:00+00:00,US,small,445937,0,0,554137,2042-06-22 00:00:00+00:00,0.8047414267590867,3015.0
cd7b9dc4,Others,2034-03-31 00:00:00+00:00,US,small,0,0,0,1966539,2042-06-22 00:00:00+00:00,0.0,3005.0
d7f84f37,Others,2034-03-29 00:00:00+00:00,CA,small,0,0,0,132962368,2042-06-22 00:00:00+00:00,0.0,3007.0
9879a7d6,Leisure,2035-01-02 00:00:00+00:00,US,small,0,235592465,0,235995040,2042-06-22 00:00:00+00:00,0.0,2728.0
a4df1c10,Others,2034-08-05 00:00:00+00:00,US,medium,865500,0,0,74252850,2042-06-22 00:00:00+00:00,0.011656118250006566,2878.0
5569c032,Software,2034-05-15 00:00:00+00:00,US,small,11598,0,0,24298,2042-06-18 00:00:00+00:00,0.47732323648036873,2960.0
49903842,Others,2034-06-12 00:00:00+00:00,IE,small,0,0,0,32512292,2042-03-23 00:00:00+00:00,0.0,2932.0
0c1e4890,Education,2034-05-11 00:00:00+00:00,US,medium,0,0,0,204459311,2042-06-22 00:00:00+00:00,0.0,2964.0
caae4f9f,Charity,2034-05-07 00:00:00+00:00,US,small,0,0,0,10198100,2042-06-22 00:00:00+00:00,0.0,2968.0
db987ab5,Others,2034-05-07 00:00:00+00:00,US,small,0,0,0,2568113,2042-06-21 00:00:00+00:00,0.0,2968.0
0f8897f0,Education,2034-09-11 00:00:00+00:00,US,small,411500,0,0,411500,2042-01-20 00:00:00+00:00,1.0,2841.0
11d58c21,"Religion, politics & other memberships",2034-04-28 00:00:00+00:00,AU,small,5201129,0,0,5201129,2042-06-22 00:00:00+00:00,1.0,2977.0
b83cac33,Software,2034-04-23 00:00:00+00:00,US,small,0,0,0,140935,2042-06-17 00:00:00+00:00,0.0,2982.0
f510e330,Software,2034-09-04 00:00:00+00:00,US,small,128974,0,0,303974,2042-06-16 00:00:00+00:00,0.42429286715311176,2848.0
4b59361f,Software,2035-08-20 00:00:00+00:00,US,small,0,0,0,8492906,2042-06-22 00:00:00+00:00,0.0,2498.0
185a2b4e,Software,2034-04-28 00:00:00+00:00,US,small,8843456,0,0,8843456,2042-06-22 00:00:00+00:00,1.0,2977.0
b39802fa,Business services,2034-05-06 00:00:00+00:00,US,small,0,0,0,27934550,2042-06-22 00:00:00+00:00,0.0,2969.0
236cb435,Others,2034-11-03 00:00:00+00:00,US,small,12413835,1650810,0,12413835,2042-06-22 00:00:00+00:00,1.0,2788.0
a7b0a838,Others,2034-09-05 00:00:00+00:00,CA,small,0,0,0,514500,2042-01-20 00:00:00+00:00,0.0,2847.0
10e89ece,Software,2034-07-01 00:00:00+00:00,US,small,2435400,0,0,2435400,2042-06-17 00:00:00+00:00,1.0,2913.0
429a5bd7,Business services,2034-07-26 00:00:00+00:00,US,small,425672085,0,0,427839092,2042-06-22 00:00:00+00:00,0.994934995327636,2888.0
3b5c8e8f,Business services,2034-06-05 00:00:00+00:00,US,small,445000,0,0,445000,2041-12-09 00:00:00+00:00,1.0,2939.0
6e3bb539,Education,2034-06-26 00:00:00+00:00,GB,small,0,0,0,64865051,2042-06-22 00:00:00+00:00,0.0,2918.0
ca26facb,Education,2034-06-02 00:00:00+00:00,AU,small,848604,0,0,1312154,2042-06-21 00:00:00+00:00,0.6467259178419607,2942.0
8a9ac2cf,Software,2034-07-08 00:00:00+00:00,US,small,58448725,0,0,59264325,2042-06-22 00:00:00+00:00,0.9862379264422568,2906.0
3b6cf04f,Digital goods,2035-06-04 00:00:00+00:00,US,small,6549050,0,0,6961550,2042-06-22 00:00:00+00:00,0.9407459545647162,2575.0
d8dc9df2,Software,2034-07-08 00:00:00+00:00,US,small,51346296,0,0,70704727,2042-06-22 00:00:00+00:00,0.7262074005320748,2906.0
e07bd177,Business services,2034-09-04 00:00:00+00:00,US,small,800870,0,0,990870,2042-06-22 00:00:00+00:00,0.8082493162574304,2848.0
2c912d2a,Others,2034-06-08 00:00:00+00:00,US,small,9683254,0,0,13953005,2042-06-22 00:00:00+00:00,0.6939905776569276,2936.0
0e57c708,Business services,2034-07-14 00:00:00+00:00,US,small,20450065,0,0,20630440,2042-06-22 00:00:00+00:00,0.9912568515261914,2900.0
80066f72,Software,2034-06-05 00:00:00+00:00,IE,small,155003948,0,0,155423787,2042-06-22 00:00:00+00:00,0.9972987468128028,2939.0
e52b27ce,Software,2034-07-30 00:00:00+00:00,US,medium,207080860,0,0,317967590,2042-06-22 00:00:00+00:00,0.6512640486409322,2884.0
f2eefc2c,Software,2034-07-29 00:00:00+00:00,US,small,1157700,0,0,1157700,2042-06-22 00:00:00+00:00,1.0,2885.0
8cbbdef2,"Religion, politics & other memberships",2034-10-24 00:00:00+00:00,US,small,0,0,0,27760250,2042-06-21 00:00:00+00:00,0.0,2798.0
0de5b7bd,Personal services,2038-01-02 00:00:00+00:00,US,small,0,2210736,7999,2218735,2041-10-11 00:00:00+00:00,0.0,1632.0
b14eced7,Construction,2034-06-17 00:00:00+00:00,US,small,0,0,0,45620163,2042-06-21 00:00:00+00:00,0.0,2927.0
6415b04f,Electronics,2034-06-18 00:00:00+00:00,US,small,0,0,0,7644851,2042-06-22 00:00:00+00:00,0.0,2926.0
b2f142f3,Software,2034-07-08 00:00:00+00:00,US,small,5444419,0,0,5494565,2042-06-22 00:00:00+00:00,0.9908735268397043,2906.0
4b3b5fc1,Merchandise,2035-07-01 00:00:00+00:00,ES,small,0,0,0,367485,2042-06-19 00:00:00+00:00,0.0,2548.0
fe5a2bc1,Others,2034-06-26 00:00:00+00:00,IT,medium,0,0,0,611643268,2042-06-22 00:00:00+00:00,0.0,2918.0
4caa0e0f,Business services,2034-07-28 00:00:00+00:00,US,medium,0,0,0,4767300,2042-01-14 00:00:00+00:00,0.0,2886.0
ee99c80d,Digital goods,2033-03-07 00:00:00+00:00,US,small,623700,0,0,1248600,2041-11-08 00:00:00+00:00,0.4995194617972129,3394.0
bda9b948,Digital goods,2033-01-30 00:00:00+00:00,US,small,4300695,0,0,5043425,2042-06-22 00:00:00+00:00,0.852733013775361,3430.0
18dc1f7b,Software,2033-02-06 00:00:00+00:00,US,small,78170620,0,0,78791940,2042-06-22 00:00:00+00:00,0.9921144218558395,3423.0
57563ccd,Software,2034-09-10 00:00:00+00:00,FR,small,0,0,0,9787725,2042-06-22 00:00:00+00:00,0.0,2842.0
8b68903a,Business services,2034-09-22 00:00:00+00:00,US,small,0,0,0,30012917,2042-06-22 00:00:00+00:00,0.0,2830.0
b24e59ad,Business services,2035-04-22 00:00:00+00:00,AU,large,0,0,0,7024230,2042-06-22 00:00:00+00:00,0.0,2618.0
7c3b8970,Software,2034-07-23 00:00:00+00:00,AU,small,91926329,0,0,92187903,2042-06-22 00:00:00+00:00,0.9971625995224124,2891.0
9cd291ef,Food & drink,2037-01-04 00:00:00+00:00,GB,small,0,0,0,1753453,2042-06-09 00:00:00+00:00,0.0,1995.0
1d2bb9da,Software,2035-04-10 00:00:00+00:00,US,small,928797,0,0,1181471,2042-06-21 00:00:00+00:00,0.7861360964424857,2630.0
6743651b,Business services,2039-08-08 00:00:00+00:00,US,medium,9869238,0,0,19236588,2042-06-10 00:00:00+00:00,0.5130451408534611,1049.0
013c05f5,Software,2034-09-26 00:00:00+00:00,US,small,512500,0,0,512500,2042-06-21 00:00:00+00:00,1.0,2826.0
9c81fcb5,Business services,2034-08-05 00:00:00+00:00,US,small,4246200,0,0,4246200,2042-06-22 00:00:00+00:00,1.0,2878.0
27b5541b,Personal services,2036-01-28 00:00:00+00:00,US,small,1223214,0,192238,1598640,2042-06-21 00:00:00+00:00,0.7651591352649753,2337.0
c3378c62,Others,2034-07-30 00:00:00+00:00,US,small,4767704,0,0,7439478,2042-06-22 00:00:00+00:00,0.6408653940504966,2884.0
001f41bc,Business services,2034-11-26 00:00:00+00:00,CA,small,1193336,0,0,1608148,2042-06-22 00:00:00+00:00,0.7420560794155762,2765.0
7b03bac3,Digital goods,2035-01-31 00:00:00+00:00,GB,small,116612,0,0,116612,2042-06-17 00:00:00+00:00,1.0,2699.0
b3d7c712,Art & photography,2034-09-08 00:00:00+00:00,US,small,12359300,0,0,12615400,2042-06-17 00:00:00+00:00,0.9796994150007134,2844.0
39a07f66,Travel & lodging,2036-02-08 00:00:00+00:00,SE,small,0,0,0,25937562,2042-06-22 00:00:00+00:00,0.0,2326.0
e8ff0c97,Software,2034-08-05 00:00:00+00:00,GB,small,5010510,0,0,7035505,2042-06-22 00:00:00+00:00,0.7121748900754103,2878.0
56860d6e,Software,2034-08-12 00:00:00+00:00,GB,small,0,0,0,25541080,2042-06-22 00:00:00+00:00,0.0,2871.0
f534ea7a,Business services,2034-09-05 00:00:00+00:00,US,small,176400,0,0,176400,2042-06-20 00:00:00+00:00,1.0,2847.0
988b726f,Software,2034-08-14 00:00:00+00:00,CH,small,1004325,2942256,247717,4184259,2042-06-22 00:00:00+00:00,0.24002457782847572,2869.0
d58bfdbe,Others,2034-09-15 00:00:00+00:00,FR,small,250,0,250,658260912,2042-06-22 00:00:00+00:00,3.7978861488284755e-07,2837.0
5357c2b4,Software,2034-09-04 00:00:00+00:00,US,small,0,0,0,15222496,2042-06-22 00:00:00+00:00,0.0,2848.0
6ad6cc59,Specialty retail,2034-09-04 00:00:00+00:00,CA,small,0,0,0,7075252,2041-09-21 00:00:00+00:00,0.0,2848.0
496953b4,Ticketing & events,2035-01-19 00:00:00+00:00,GB,medium,0,0,0,6816197,2042-06-17 00:00:00+00:00,0.0,2711.0
137ba7d6,Software,2034-09-22 00:00:00+00:00,US,small,0,0,0,254920,2042-06-01 00:00:00+00:00,0.0,2830.0
01fe6fe3,Business services,2034-09-11 00:00:00+00:00,US,medium,3701862,1055600,0,9758962,2042-06-22 00:00:00+00:00,0.3793294819674469,2841.0
b4b8d70e,Leisure,2034-09-10 00:00:00+00:00,GB,small,15710310,0,54895,24621782,2042-06-22 00:00:00+00:00,0.6380655145106882,2842.0
826b6b83,Software,2034-09-18 00:00:00+00:00,US,small,0,0,0,4693900,2042-06-22 00:00:00+00:00,0.0,2834.0
f916c159,Ticketing & events,2034-10-21 00:00:00+00:00,US,small,0,0,0,30373936,2042-06-22 00:00:00+00:00,0.0,2801.0
a3d1dd19,Software,2034-10-29 00:00:00+00:00,US,small,0,0,0,4913612,2042-06-22 00:00:00+00:00,0.0,2793.0
435432ef,Charity,2034-10-23 00:00:00+00:00,CA,small,30822599,0,0,81552272,2042-06-22 00:00:00+00:00,0.3779489920280823,2799.0
54243875,Software,2034-09-29 00:00:00+00:00,CH,small,5096446,2303812,0,5096446,2042-06-22 00:00:00+00:00,1.0,2823.0
5bef0fd7,Software,2035-01-20 00:00:00+00:00,US,small,0,0,0,6718661,2042-06-22 00:00:00+00:00,0.0,2710.0
aed29620,Grocery & food stores,2034-10-09 00:00:00+00:00,US,small,0,0,0,2646600,2042-06-15 00:00:00+00:00,0.0,2813.0
627fd2ec,Ticketing & events,2035-01-27 00:00:00+00:00,IE,small,0,0,0,1125170,2042-06-16 00:00:00+00:00,0.0,2703.0
a1483740,Charity,2034-09-30 00:00:00+00:00,US,small,612057,0,0,612057,2042-06-22 00:00:00+00:00,1.0,2822.0
17db3b82,Specialty retail,2034-10-13 00:00:00+00:00,DK,small,391352519,0,0,391654854,2042-06-22 00:00:00+00:00,0.9992280575692801,2809.0
efd5895e,Education,2035-03-30 00:00:00+00:00,US,small,0,0,0,365565877,2042-06-22 00:00:00+00:00,0.0,2641.0
cebc2fe1,Software,2035-02-03 00:00:00+00:00,NO,small,0,0,0,607174032,2042-06-22 00:00:00+00:00,0.0,2696.0
7c10cca5,Charity,2035-01-16 00:00:00+00:00,US,small,260400,0,0,19536600,2042-06-22 00:00:00+00:00,0.013328828967169313,2714.0
1538ebb4,Specialty retail,2035-01-03 00:00:00+00:00,US,small,436320,0,0,6065463,2042-06-22 00:00:00+00:00,0.07193515152924022,2727.0
a889ad03,"Religion, politics & other memberships",2035-04-07 00:00:00+00:00,CA,small,0,0,0,40498,2042-06-05 00:00:00+00:00,0.0,2633.0
1c6796d1,Business services,2034-10-22 00:00:00+00:00,US,small,11075068,0,0,11346268,2042-06-21 00:00:00+00:00,0.9760978675984033,2800.0
b4f81fe8,Grocery & food stores,2034-10-17 00:00:00+00:00,US,small,0,0,0,8870499,2042-06-22 00:00:00+00:00,0.0,2805.0
47cb0f02,Clothing & accessory,2034-11-12 00:00:00+00:00,US,small,2884100,0,0,2884100,2042-06-22 00:00:00+00:00,1.0,2779.0
424b6690,Software,2034-11-13 00:00:00+00:00,US,small,0,0,0,25523122,2042-06-22 00:00:00+00:00,0.0,2778.0
448fee6e,Software,2035-01-29 00:00:00+00:00,US,small,2883342,0,0,18730381,2042-06-21 00:00:00+00:00,0.15393931388795562,2701.0
c6987d18,Electronics,2035-03-24 00:00:00+00:00,US,small,0,84275910,0,89024133,2042-06-22 00:00:00+00:00,0.0,2647.0
7a94e5a6,Software,2036-12-19 00:00:00+00:00,AT,small,0,7191479,0,13707220,2042-06-22 00:00:00+00:00,0.0,2011.0
8b607096,Clothing & accessory,2036-03-04 00:00:00+00:00,IE,small,154559,822711,0,6042945,2042-06-22 00:00:00+00:00,0.02557676761909963,2301.0
04db2c20,Ticketing & events,2034-11-12 00:00:00+00:00,AU,small,136000,0,0,430985,2042-05-23 00:00:00+00:00,0.31555622585472815,2779.0
2d0800d4,"Medical services, drugs, testing labs & equipment medium",2035-06-19 00:00:00+00:00,US,medium,0,0,0,246258976,2042-06-22 00:00:00+00:00,0.0,2560.0
2.72E+98,Clothing & accessory,2034-11-15 00:00:00+00:00,US,small,0,0,0,1286674,2042-06-17 00:00:00+00:00,0.0,2776.0
6d2a8fcf,Business services,2035-06-08 00:00:00+00:00,US,small,88806645,0,0,101449145,2042-06-22 00:00:00+00:00,0.8753809112930424,2571.0
9a17ccf1,Personal services,2036-02-23 00:00:00+00:00,US,small,4995372,0,0,5288472,2042-06-22 00:00:00+00:00,0.9445775641811094,2311.0
e353139c,Digital goods,2035-01-01 00:00:00+00:00,GB,small,0,0,0,6509472,2042-06-22 00:00:00+00:00,0.0,2729.0
fe700d7c,Healthcare,2034-11-20 00:00:00+00:00,US,medium,1595313095,1968056,0,1630367637,2042-06-22 00:00:00+00:00,0.9784989954385361,2771.0
76b48cb0,Personal services,2035-01-09 00:00:00+00:00,AU,small,0,0,0,212277,2042-06-15 00:00:00+00:00,0.0,2721.0
6d0decd6,Software,2034-11-18 00:00:00+00:00,US,small,0,0,0,7105391,2042-06-22 00:00:00+00:00,0.0,2773.0
fd75b967,Merchandise,2035-02-11 00:00:00+00:00,AU,small,1317363,0,0,2839063,2042-06-22 00:00:00+00:00,0.46401330298059607,2688.0
acaef14e,Education,2034-12-02 00:00:00+00:00,GB,small,20783092,0,0,28886458,2042-06-22 00:00:00+00:00,0.719475264153189,2759.0
4f4669ad,Software,2034-12-02 00:00:00+00:00,US,small,643400,0,0,808521055,2042-06-22 00:00:00+00:00,0.0007957739579212319,2759.0
4c8aae17,"Religion, politics & other memberships",2035-01-05 00:00:00+00:00,US,small,1637020,0,0,1637020,2042-06-20 00:00:00+00:00,1.0,2725.0
3e8a5aba,Business services,2035-01-16 00:00:00+00:00,US,small,3119815,0,0,3119815,2042-06-22 00:00:00+00:00,1.0,2714.0
9f819371,Art & photography,2034-12-04 00:00:00+00:00,US,small,0,0,0,29797284,2042-06-22 00:00:00+00:00,0.0,2757.0
3925fb90,Software,2035-01-08 00:00:00+00:00,US,small,0,0,0,33869790,2042-06-20 00:00:00+00:00,0.0,2722.0
fc9af9b2,Software,2035-01-07 00:00:00+00:00,US,small,3702294,0,0,4354652,2042-06-22 00:00:00+00:00,0.850192851231281,2723.0
97873938,Business services,2035-04-29 00:00:00+00:00,CA,small,0,0,0,21152247,2042-06-21 00:00:00+00:00,0.0,2611.0
70723d26,Business services,2035-01-14 00:00:00+00:00,IE,small,0,0,0,12219629,2042-06-22 00:00:00+00:00,0.0,2716.0
7304df43,"Religion, politics & other memberships",2035-01-01 00:00:00+00:00,AU,small,5022784,0,0,5022784,2042-06-09 00:00:00+00:00,1.0,2729.0
3e8711b0,Software,2035-02-27 00:00:00+00:00,US,small,0,225000,0,21519500,2042-06-22 00:00:00+00:00,0.0,2672.0
0c651e0f,Software,2035-07-16 00:00:00+00:00,AT,small,0,0,0,2249535,2042-06-01 00:00:00+00:00,0.0,2533.0
7f41705d,Digital goods,2040-04-15 00:00:00+00:00,GB,small,707966,707966,0,707966,2042-06-22 00:00:00+00:00,1.0,798.0
e64d2f9b,Grocery & food stores,2035-01-12 00:00:00+00:00,US,small,0,0,0,23774900,2042-06-22 00:00:00+00:00,0.0,2718.0
