File Containing SKUs by Product,,
SKU,Parent,Code
Juicy Lucy gummies_EN,Juicy Lucy gummies,P016EN
Juicy Lucy gummies_FR,Juicy Lucy gummies,P016FR
Juicy Lucy gummies_SP,Juicy Lucy gummies,P016SP
Juicy Lucy gummies_GE,Juicy Lucy gummies,P016GE
Juicy Lucy gummies_IT,Juicy Lucy gummies,P016IT
Juicy Lucy gummies_IN,Juicy Lucy gummies,P016IN
Juicy Lucy gummies_JA,Juicy Lucy gummies,P016JA
Bite Me!_EN,Bite Me!,P017EN
Bite Me!_FR,Bite Me!,P017FR
Bite Me!_SP,Bite Me!,P017SP
Bite Me!_GE,Bite Me!,P017GE
Bite Me!_IT,Bite Me!,P017IT
Bite Me!_IN,Bite Me!,P017IN
Bite Me!_JA,Bite Me!,P017JA
LocoMongo_EN,LocoMongo,P018EN
LocoMongo_FR,LocoMongo,P018FR
LocoMongo_SP,LocoMongo,P018SP
LocoMongo_GE,LocoMongo,P018GE
LocoMongo_IT,LocoMongo,P018IT
LocoMongo_IN,LocoMongo,P018IN
LocoMongo_JA,LocoMongo,P018JA
Smacker Packer_EN,Smacker Packer,P019EN
Smacker Packer_FR,Smacker Packer,P019FR
Smacker Packer_SP,Smacker Packer,P019SP
Smacker Packer_GE,Smacker Packer,P019GE
Smacker Packer_IT,Smacker Packer,P019IT
Smacker Packer_IN,Smacker Packer,P019IN
Smacker Packer_JA,Smacker Packer,P019JA
Sweet-n-Swirlie_EN,Sweet-n-Swirlie,P020EN
Sweet-n-Swirlie_FR,Sweet-n-Swirlie,P020FR
Sweet-n-Swirlie_SP,Sweet-n-Swirlie,P020SP
Sweet-n-Swirlie_GE,Sweet-n-Swirlie,P020GE
Sweet-n-Swirlie_IT,Sweet-n-Swirlie,P020IT
Sweet-n-Swirlie_IN,Sweet-n-Swirlie,P020IN
Sweet-n-Swirlie_JA,Sweet-n-Swirlie,P020JA
Souroly polies_EN,Souroly polies,P021EN
Souroly polies_FR,Souroly polies,P021FR
Souroly polies_SP,Souroly polies,P021SP
Souroly polies_GE,Souroly polies,P021GE
Souroly polies_IT,Souroly polies,P021IT
Souroly polies_IN,Souroly polies,P021IN
Souroly polies_JA,Souroly polies,P021JA
TinyBarns_EN,TinyBarns,P022EN
TinyBarns_FR,TinyBarns,P022FR
TinyBarns_SP,TinyBarns,P022SP
TinyBarns_GE,TinyBarns,P022GE
TinyBarns_IT,TinyBarns,P022IT
TinyBarns_IN,TinyBarns,P022IN
TinyBarns_JA,TinyBarns,P022JA
Wibbles_EN,Wibbles,P023EN
Wibbles_FR,Wibbles,P023FR
Wibbles_SP,Wibbles,P023SP
Wibbles_GE,Wibbles,P023GE
Wibbles_IT,Wibbles,P023IT
Wibbles_IN,Wibbles,P023IN
Wibbles_JA,Wibbles,P023JA
Rompers_EN,Rompers,P024EN
Rompers_FR,Rompers,P024FR
Rompers_SP,Rompers,P024SP
Rompers_GE,Rompers,P024GE
Rompers_IT,Rompers,P024IT
Rompers_IN,Rompers,P024IN
Rompers_JA,Rompers,P024JA
HyperLemones_EN,HyperLemones,P025EN
HyperLemones_FR,HyperLemones,P025FR
HyperLemones_SP,HyperLemones,P025SP
HyperLemones_GE,HyperLemones,P025GE
HyperLemones_IT,HyperLemones,P025IT
HyperLemones_IN,HyperLemones,P025IN
HyperLemones_JA,HyperLemones,P025JA
AnaFrazzles_EN,AnaFrazzles,P026EN
AnaFrazzles_FR,AnaFrazzles,P026FR
AnaFrazzles_SP,AnaFrazzles,P026SP
AnaFrazzles_GE,AnaFrazzles,P026GE
AnaFrazzles_IT,AnaFrazzles,P026IT
AnaFrazzles_IN,AnaFrazzles,P026IN
AnaFrazzles_JA,AnaFrazzles,P026JA
Connected sweeties_EN,Connected sweeties,P027EN
Connected sweeties_FR,Connected sweeties,P027FR
Connected sweeties_SP,Connected sweeties,P027SP
Connected sweeties_GE,Connected sweeties,P027GE
Connected sweeties_IT,Connected sweeties,P027IT
Connected sweeties_IN,Connected sweeties,P027IN
Connected sweeties_JA,Connected sweeties,P027JA
Blasters_EN,Blasters,P028EN
Blasters_FR,Blasters,P028FR
Blasters_SP,Blasters,P028SP
Blasters_GE,Blasters,P028GE
Blasters_IT,Blasters,P028IT
Blasters_IN,Blasters,P028IN
Blasters_JA,Blasters,P028JA
SF Bay Water Taffy_EN,SF Bay Water Taffy,P029EN
SF Bay Water Taffy_FR,SF Bay Water Taffy,P029FR
SF Bay Water Taffy_SP,SF Bay Water Taffy,P029SP
SF Bay Water Taffy_GE,SF Bay Water Taffy,P029GE
SF Bay Water Taffy_IT,SF Bay Water Taffy,P029IT
SF Bay Water Taffy_IN,SF Bay Water Taffy,P029IN
SF Bay Water Taffy_JA,SF Bay Water Taffy,P029JA
Viking Cream_EN,Viking Cream,P030EN
Viking Cream_FR,Viking Cream,P030FR
Viking Cream_SP,Viking Cream,P030SP
Viking Cream_GE,Viking Cream,P030GE
Viking Cream_IT,Viking Cream,P030IT
Viking Cream_IN,Viking Cream,P030IN
Viking Cream_JA,Viking Cream,P030JA
Rocket Fizz_EN,Rocket Fizz,P031EN
Rocket Fizz_FR,Rocket Fizz,P031FR
Rocket Fizz_SP,Rocket Fizz,P031SP
Rocket Fizz_GE,Rocket Fizz,P031GE
Rocket Fizz_IT,Rocket Fizz,P031IT
Rocket Fizz_IN,Rocket Fizz,P031IN
Rocket Fizz_JA,Rocket Fizz,P031JA
The York Chew_EN,The York Chew,P032EN
The York Chew_FR,The York Chew,P032FR
The York Chew_SP,The York Chew,P032SP
The York Chew_GE,The York Chew,P032GE
The York Chew_IT,The York Chew,P032IT
The York Chew_IN,The York Chew,P032IN
The York Chew_JA,The York Chew,P032JA
The Crusher_EN,The Crusher,P033EN
The Crusher_FR,The Crusher,P033FR
The Crusher_SP,The Crusher,P033SP
The Crusher_GE,The Crusher,P033GE
The Crusher_IT,The Crusher,P033IT
The Crusher_IN,The Crusher,P033IN
The Crusher_JA,The Crusher,P033JA
Ana-lisious_EN,Ana-lisious,P034EN
Ana-lisious_FR,Ana-lisious,P034FR
Ana-lisious_SP,Ana-lisious,P034SP
Ana-lisious_GE,Ana-lisious,P034GE
Ana-lisious_IT,Ana-lisious,P034IT
Ana-lisious_IN,Ana-lisious,P034IN
Ana-lisious_JA,Ana-lisious,P034JA
Bubbles Salt Water Taffy_EN,Bubbles Salt Water Taffy,P035EN
Bubbles Salt Water Taffy_FR,Bubbles Salt Water Taffy,P035FR
Bubbles Salt Water Taffy_SP,Bubbles Salt Water Taffy,P035SP
Bubbles Salt Water Taffy_GE,Bubbles Salt Water Taffy,P035GE
Bubbles Salt Water Taffy_IT,Bubbles Salt Water Taffy,P035IT
Bubbles Salt Water Taffy_IN,Bubbles Salt Water Taffy,P035IN
Bubbles Salt Water Taffy_JA,Bubbles Salt Water Taffy,P035JA
Hypercrusher_EN,Hypercrusher,P036EN
Hypercrusher_FR,Hypercrusher,P036FR
Hypercrusher_SP,Hypercrusher,P036SP
Hypercrusher_GE,Hypercrusher,P036GE
Hypercrusher_IT,Hypercrusher,P036IT
Hypercrusher_IN,Hypercrusher,P036IN
Hypercrusher_JA,Hypercrusher,P036JA
ChewyBlock_EN,ChewyBlock,P037EN
ChewyBlock_FR,ChewyBlock,P037FR
ChewyBlock_SP,ChewyBlock,P037SP
ChewyBlock_GE,ChewyBlock,P037GE
ChewyBlock_IT,ChewyBlock,P037IT
ChewyBlock_IN,ChewyBlock,P037IN
ChewyBlock_JA,ChewyBlock,P037JA
The Big Apple_EN,The Big Apple,P038EN
The Big Apple_FR,The Big Apple,P038FR
The Big Apple_SP,The Big Apple,P038SP
The Big Apple_GE,The Big Apple,P038GE
The Big Apple_IT,The Big Apple,P038IT
The Big Apple_IN,The Big Apple,P038IN
The Big Apple_JA,The Big Apple,P038JA
Funky Town_EN,Funky Town,P039EN
Funky Town_FR,Funky Town,P039FR
Funky Town_SP,Funky Town,P039SP
Funky Town_GE,Funky Town,P039GE
Funky Town_IT,Funky Town,P039IT
Funky Town_IN,Funky Town,P039IN
Funky Town_JA,Funky Town,P039JA
Twisted Ana_EN,Twisted Ana,P040EN
Twisted Ana_FR,Twisted Ana,P040FR
Twisted Ana_SP,Twisted Ana,P040SP
Twisted Ana_GE,Twisted Ana,P040GE
Twisted Ana_IT,Twisted Ana,P040IT
Twisted Ana_IN,Twisted Ana,P040IN
Twisted Ana_JA,Twisted Ana,P040JA
Corny Chew_EN,Corny Chew,P041EN
Corny Chew_FR,Corny Chew,P041FR
Corny Chew_SP,Corny Chew,P041SP
Corny Chew_GE,Corny Chew,P041GE
Corny Chew_IT,Corny Chew,P041IT
Corny Chew_IN,Corny Chew,P041IN
Corny Chew_JA,Corny Chew,P041JA
Berry Jet_EN,Berry Jet,P042EN
Berry Jet_FR,Berry Jet,P042FR
Berry Jet_SP,Berry Jet,P042SP
Berry Jet_GE,Berry Jet,P042GE
Berry Jet_IT,Berry Jet,P042IT
Berry Jet_IN,Berry Jet,P042IN
Berry Jet_JA,Berry Jet,P042JA
Connutty_EN,Connutty,P043EN
Connutty_FR,Connutty,P043FR
Connutty_SP,Connutty,P043SP
Connutty_GE,Connutty,P043GE
Connutty_IT,Connutty,P043IT
Connutty_IN,Connutty,P043IN
Connutty_JA,Connutty,P043JA
Bay Sludge Fudge_EN,Bay Sludge Fudge,P044EN
Bay Sludge Fudge_FR,Bay Sludge Fudge,P044FR
Bay Sludge Fudge_SP,Bay Sludge Fudge,P044SP
Bay Sludge Fudge_GE,Bay Sludge Fudge,P044GE
Bay Sludge Fudge_IT,Bay Sludge Fudge,P044IT
Bay Sludge Fudge_IN,Bay Sludge Fudge,P044IN
Bay Sludge Fudge_JA,Bay Sludge Fudge,P044JA
Fuddy Duddy_EN,Fuddy Duddy,P045EN
Fuddy Duddy_FR,Fuddy Duddy,P045FR
Fuddy Duddy_SP,Fuddy Duddy,P045SP
Fuddy Duddy_GE,Fuddy Duddy,P045GE
Fuddy Duddy_IT,Fuddy Duddy,P045IT
Fuddy Duddy_IN,Fuddy Duddy,P045IN
Fuddy Duddy_JA,Fuddy Duddy,P045JA
Fudgy Block_EN,Fudgy Block,P046EN
Fudgy Block_FR,Fudgy Block,P046FR
Fudgy Block_SP,Fudgy Block,P046SP
Fudgy Block_GE,Fudgy Block,P046GE
Fudgy Block_IT,Fudgy Block,P046IT
Fudgy Block_IN,Fudgy Block,P046IN
Fudgy Block_JA,Fudgy Block,P046JA
Goulden Nugget Fudge_EN,Goulden Nugget Fudge,P047EN
Goulden Nugget Fudge_FR,Goulden Nugget Fudge,P047FR
Goulden Nugget Fudge_SP,Goulden Nugget Fudge,P047SP
Goulden Nugget Fudge_GE,Goulden Nugget Fudge,P047GE
Goulden Nugget Fudge_IT,Goulden Nugget Fudge,P047IT
Goulden Nugget Fudge_IN,Goulden Nugget Fudge,P047IN
Goulden Nugget Fudge_JA,Goulden Nugget Fudge,P047JA
Moscone_EN,Moscone,P048EN
Moscone_FR,Moscone,P048FR
Moscone_SP,Moscone,P048SP
Moscone_GE,Moscone,P048GE
Moscone_IT,Moscone,P048IT
Moscone_IN,Moscone,P048IN
Moscone_JA,Moscone,P048JA
The Hubba Bubba_EN,The Hubba Bubba,P049EN
The Hubba Bubba_FR,The Hubba Bubba,P049FR
The Hubba Bubba_SP,The Hubba Bubba,P049SP
The Hubba Bubba_GE,The Hubba Bubba,P049GE
The Hubba Bubba_IT,The Hubba Bubba,P049IT
The Hubba Bubba_IN,The Hubba Bubba,P049IN
The Hubba Bubba_JA,The Hubba Bubba,P049JA
CPX (Cashews and Peanuts)_EN,CPX (Cashews and peanuts),P050EN
CPX (Cashews and Peanuts)_FR,CPX (Cashews and peanuts),P050FR
CPX (Cashews and Peanuts)_SP,CPX (Cashews and peanuts),P050SP
CPX (Cashews and Peanuts)_GE,CPX (Cashews and peanuts),P050GE
CPX (Cashews and Peanuts)_IT,CPX (Cashews and peanuts),P050IT
CPX (Cashews and Peanuts)_IN,CPX (Cashews and peanuts),P050IN
CPX (Cashews and Peanuts)_JA,CPX (Cashews and peanuts),P050JA
Marshmallow Hub_EN,Marshmallow Hub,P051EN
Marshmallow Hub_FR,Marshmallow Hub,P051FR
Marshmallow Hub_SP,Marshmallow Hub,P051SP
Marshmallow Hub_GE,Marshmallow Hub,P051GE
Marshmallow Hub_IT,Marshmallow Hub,P051IT
Marshmallow Hub_IN,Marshmallow Hub,P051IN
Marshmallow Hub_JA,Marshmallow Hub,P051JA
Mud City_EN,Mud city,P052EN
Mud City_FR,Mud city,P052FR
Mud City_SP,Mud city,P052SP
Mud City_GE,Mud city,P052GE
Mud City_IT,Mud city,P052IT
Mud City_IN,Mud city,P052IN
Mud City_JA,Mud city,P052JA
PlanItfudge_EN,PlanItfudge,P053EN
PlanItfudge_FR,PlanItfudge,P053FR
PlanItfudge_SP,PlanItfudge,P053SP
PlanItfudge_GE,PlanItfudge,P053GE
PlanItfudge_IT,PlanItfudge,P053IT
PlanItfudge_IN,PlanItfudge,P053IN
PlanItfudge_JA,PlanItfudge,P053JA
